InductedToHallOfFame,FullPlayerName,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,Doug Neff,2,62,1,10,1,0,0,4,1,0.16129032258064518,0.17741935483870969,0,0,0,0,0,12,1915,504
FALSE,Charlie Hanford,2,776,110,217,32,18,12,112,47,0.27963917525773196,0.41365979381443296,0,0,0,0,0,383,1915,507
FALSE,Dick Wright,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,510
FALSE,Charlie Maisel,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,513
FALSE,Jimmie Savage,3,503,82,139,9,9,1,26,17,0.2763419483101392,0.33598409542743535,0,0,0,0,0,188,1915,516
FALSE,Larry Gilbert,2,330,43,76,10,1,5,29,7,0.23030303030303029,0.31212121212121213,0,0,0,0,0,119,1915,519
FALSE,George Perring,5,1764,198,438,75,34,9,183,34,0.24829931972789115,0.34467120181405897,0,0,0,0,0,726,1915,522
FALSE,Karl Kolseth,1,23,1,6,1,1,0,1,0,0.2608695652173913,0.39130434782608697,0,0,0,0,0,11,1915,525
FALSE,Tex Hoffman,1,13,1,2,0,0,0,2,0,0.15384615384615385,0.15384615384615385,0,0,0,0,0,2,1915,528
FALSE,Ed Gagnier,2,389,30,76,13,2,0,29,10,0.19537275064267351,0.23907455012853468,0,0,0,0,0,108,1915,531
FALSE,Jimmy Esmond,4,1540,204,406,52,34,9,162,61,0.26363636363636361,0.35909090909090907,0,0,0,0,0,648,1915,534
FALSE,Arnold Hauser,5,1468,180,349,33,20,6,137,68,0.23773841961852862,0.29972752043596729,0,0,0,0,0,499,1915,537
FALSE,Walter Blair,7,1255,80,272,42,11,3,106,18,0.21673306772908368,0.27490039840637448,0,0,0,0,0,401,1915,540
FALSE,John Karst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,543
FALSE,Larry McLean,13,2647,183,694,90,26,6,298,20,0.26218360408009067,0.32262939176426142,0,0,0,0,0,976,1915,546
FALSE,Enos Kirkpatrick,4,528,70,125,20,6,3,46,32,0.23674242424242423,0.31439393939393939,0,0,0,0,0,195,1915,549
FALSE,Rupert Mills,1,134,12,27,5,1,0,16,6,0.20149253731343283,0.2537313432835821,0,0,0,0,0,40,1915,552
FALSE,John Leary,2,760,54,196,38,7,0,60,11,0.25789473684210523,0.32631578947368423,0,0,0,0,0,293,1915,555
FALSE,Steve Evans,8,3359,478,963,175,67,32,466,86,0.2866924679964275,0.40726406668651388,0,0,0,0,0,1642,1915,558
FALSE,Ty Helfrich,1,104,12,25,6,0,0,5,2,0.24038461538461536,0.29807692307692307,0,0,0,0,0,37,1915,561
FALSE,Art Kores,1,201,18,47,9,2,1,22,6,0.2338308457711443,0.31343283582089554,0,0,0,0,0,75,1915,564
FALSE,Ken Crawford,1,82,4,20,2,1,0,7,0,0.24390243902439024,0.29268292682926828,0,0,0,0,0,27,1915,567
FALSE,Delos Drake,3,1172,120,308,50,21,5,119,43,0.26279863481228666,0.35409556313993173,0,0,0,0,0,491,1915,570
FALSE,Hugh Bradley,5,913,84,238,46,12,2,117,23,0.26067907995618839,0.34392113910186201,0,0,0,0,0,374,1915,573
FALSE,Gene Layden,1,7,2,2,0,0,0,0,0,0.2857142857142857,0.2857142857142857,0,0,0,0,0,2,1915,576
FALSE,Harry Daubert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,579
FALSE,LaRue Kirby,3,378,37,87,14,5,2,34,8,0.23015873015873017,0.30952380952380953,0,0,0,0,0,138,1915,582
FALSE,Pep Goodwin,2,603,60,142,20,7,1,48,10,0.23548922056384741,0.29684908789386405,0,0,0,0,0,207,1915,585
FALSE,Denney Wilie,3,230,26,56,7,3,2,19,5,0.24347826086956523,0.32608695652173914,0,0,0,0,0,87,1915,588
FALSE,George O'Brien,1,9,1,2,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0,0,0,0,0,2,1915,591
FALSE,Jack Farrell,2,746,85,171,33,5,0,49,20,0.22922252010723859,0.28686327077747986,0,0,0,0,0,252,1915,594
FALSE,Marty Becker,1,52,5,13,2,0,0,3,3,0.25,0.28846153846153844,0,0,0,0,0,17,1915,597
FALSE,Guy Zinn,5,1103,136,297,51,23,15,139,28,0.26926563916591112,0.39800543970988217,0,0,0,0,0,528,1915,600
FALSE,Joe Shannon,1,10,3,2,0,0,0,1,0,0.20000000000000001,0.20000000000000001,0,0,0,0,0,2,1915,603
FALSE,Jimmy Walsh,6,1571,178,447,84,14,25,212,45,0.28453214513049013,0.40356460852959897,0,0,0,0,0,757,1915,606
FALSE,Larry Pratt,2,57,7,11,3,0,1,2,4,0.19298245614035087,0.2982456140350877,0,0,0,0,0,21,1915,609
FALSE,Ralph Edwards,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,612
FALSE,Larry Strands,1,75,7,14,3,1,1,11,1,0.18666666666666668,0.29333333333333333,0,0,0,0,0,27,1915,615
FALSE,Bill Warren,2,53,5,13,2,0,0,6,2,0.24528301886792453,0.28301886792452829,0,0,0,0,0,17,1915,618
FALSE,Tom Connolly,1,141,14,26,3,2,0,7,5,0.18439716312056736,0.23404255319148939,0,0,0,0,0,38,1915,621
FALSE,Gus Williams,5,1398,171,367,58,31,12,147,95,0.26251788268955656,0.37410586552217451,0,0,0,0,0,624,1915,624
FALSE,Bert Whaling,3,573,50,129,21,4,0,50,5,0.22513089005235601,0.27574171029668415,0,0,0,0,0,183,1915,627
FALSE,Hack Simmons,4,951,115,234,43,9,2,102,28,0.24605678233438485,0.31650893796004209,0,0,0,0,0,355,1915,630
FALSE,Charlie Eakle,1,7,0,2,1,0,0,0,1,0.2857142857142857,0.42857142857142855,0,0,0,0,0,4,1915,633
FALSE,Art Phelan,5,1258,150,297,38,25,8,131,50,0.23608903020667724,0.32511923688394279,0,0,0,0,0,480,1915,636
FALSE,Vin Campbell,6,2069,326,642,85,36,15,167,92,0.31029482841952633,0.4079265345577574,0,0,0,0,0,980,1915,639
FALSE,Billy Lee,2,70,3,13,1,0,0,4,1,0.18571428571428572,0.20000000000000001,0,0,0,0,0,15,1916,642
FALSE,Danny Moeller,7,2538,379,618,83,43,15,192,171,0.24349881796690309,0.3278171788810087,0,0,0,0,0,973,1916,645
FALSE,Cy Wright,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,648
FALSE,Ray Kennedy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,651
FALSE,Paul Smith,1,44,5,10,0,1,0,1,3,0.22727272727272727,0.27272727272727271,0,0,0,0,0,13,1916,654
FALSE,Jack Bradley,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,657
